track_name,track_id,artist_name,album_name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Velvet Rooms,2eyxuYNE2iYHlhIA6Knryr,Teffa,Time for a Change EP,deep dubstep,0.783,0.617,1,-8.972,1,0.106,0.0171,0.203,0.381,0.267,140.04
Myers,59ReyZKBNGoQwkUILWUV2t,Nightmare & Oni,Calls From The Catacombs,deep dubstep,0.761,0.734,1,-7.361,1,0.0636,0.0455,0.831,0.0782,0.136,139.982
All Nighter,2IdkdLjCZmQtxAauieNKfu,Radikal Guru,All Nighter,deep dubstep,0.763,0.93,0,-7.022,1,0.0468,0.00805,0.925,0.129,0.834,140.006
Stirred,5tFfM9Ft6cfoeMlswzd00Q,Conzi,Chant EP,deep dubstep,0.806,0.541,8,-7.413,1,0.198,0.00704,0.901,0.487,0.22,140.002
Headspace,4Fil1D305xPLR3A4ECfYAP,"CHOMPPA, Criso",Headspace,deep dubstep,0.731,0.713,1,-7.112,1,0.0874,0.0105,0.84,0.634,0.395,140.036
Vanquisher,7yzx7u4Zu8NXjerCHXrYTF,J:Kenzo,"The Architects, Vol. 2: Alchemy",deep dubstep,0.677,0.756,4,-9.603,0,0.0426,0.000211,0.728,0.129,0.15,142.02
Dead City,00i86e7DBA7iInW9Ci5Xfb,MYTHM,"The Architects, Vol. 2: Alchemy",deep dubstep,0.657,0.606,0,-7.743,1,0.0433,0.0039,0.83,0.0955,0.255,139.928
Project XI,0xQOhRen5gRxZb9nJRYaLI,11th Hour,Project XI,deep dubstep,0.839,0.465,11,-12.736,0,0.0674,0.0606,0.758,0.11,0.279,140.016
HYDRA,0FTqKtyM4zUcCGHzrxX25b,Nautical Divine,HYDRA,deep dubstep,0.434,0.631,1,-8.857,1,0.0403,0.00132,0.356,0.35,0.0367,80.015
My Mind,4W9HZ4kiaumn5bghkyRiOL,"Hypho, Abstrakt Sonance, Megumi Hope",Megumi Hope,deep dubstep,0.273,0.309,7,-12.327,0,0.0773,0.889,0.228,0.0918,0.114,59.501
You Are Not a Badman,6nCCaHOKrGobWNiKCf2Nwy,"ENiGMA Dubz, Hypho, PAV4N",You Are Not a Badman,deep dubstep,0.688,0.865,1,-6.851,0,0.193,0.0259,0.0,0.331,0.425,139.822
Hallux,44yWTj3UT7LcDLlHMauXJJ,"q100, Ome",Hallux EP,deep dubstep,0.666,0.5,10,-13.681,0,0.045,0.0514,0.343,0.115,0.149,140.036
Grief,3sjbuxOvqp4LB7MGG0VLmD,Gnasha,Ghost of Rot,deep dubstep,0.605,0.431,5,-8.577,1,0.0811,0.0326,0.193,0.127,0.17,140.014
Satellite (Bones & Ice),0FxMaszDsM8eUl2TfNy1dH,Khiva,Satellite (Bones & Ice),deep dubstep,0.685,0.709,10,-6.318,0,0.18,0.00397,0.000383,0.0361,0.35,139.982
Chemicals,0yV9cPwAtCKA4D2XAzeYZT,Mizuchi,Fresh Blood Vol. 4,deep dubstep,0.785,0.524,11,-8.299,0,0.0564,0.05,0.684,0.103,0.23,140.022
Metaphysics,3oeavvY3a7l0ZZEeqM9MuT,Chief Kaya,Metaphysics,deep dubstep,0.735,0.366,9,-16.097,1,0.103,0.371,0.758,0.245,0.149,139.974
Last Laugh,7GJkEryf6pHdcNoGWPuxNV,Kyoshe,Inner Limits,deep dubstep,0.762,0.639,11,-9.615,1,0.0766,0.00627,0.876,0.235,0.414,140.025
Echo Chamber,3U7j4zl9rQRXffYY5y0r9V,INFEKT,Echo Chamber,deep dubstep,0.638,0.85,5,-7.644,0,0.0402,0.0491,0.687,0.13,0.0375,139.96
Nimbus,4M8oIXhurP8aAtMWEU2htH,"Khromi, ESPA",Infamous,deep dubstep,0.635,0.788,8,-7.529,0,0.0363,0.0188,0.826,0.141,0.216,139.99
Sun God,6CWdyvSB7SZRFryidOoPpf,Mikrodot,Sun God,deep dubstep,0.587,0.816,1,-9.603,1,0.499,0.00999,0.0094,0.399,0.24,139.995
Unseen,3VlsWYjGV8Gc2djS3jHTPr,"Shandy, Sukh Knight",Surj EP,deep dubstep,0.696,0.889,11,-3.665,0,0.13,0.00181,0.619,0.0792,0.466,140.07
Strike,7c1g5JmXVlH0NFdXzAZeJx,Mystic State,Strike,deep dubstep,0.664,0.568,4,-9.717,1,0.04,0.0126,0.761,0.101,0.0528,139.974
Rise Above,1Bws7rhbIf45CAIygXLai7,Taiko,Crumpets,deep dubstep,0.744,0.68,0,-7.345,0,0.053,0.2,0.023,0.0635,0.349,140.033
Jelly Belly,2oNB4MPO33gi7h6qgWp2F5,Ramsez,Jelly Belly EP,deep dubstep,0.799,0.429,2,-7.471,1,0.051,0.0505,0.808,0.0736,0.0534,139.997
Immortal,06V8G4kIGxbbGJ5x39PnXl,Hamdi,Selecta EP,deep dubstep,0.764,0.337,0,-13.469,1,0.148,0.758,0.0036,0.233,0.0354,140.015
Summoned,5zHHfJOJwDM400OrLcsMlW,Skream,Duality,deep dubstep,0.652,0.72,11,-9.207,0,0.0357,0.00511,0.502,0.487,0.105,139.984
Belphegor,1PclG6g9nDHsHCsILKxTMb,ENiGMA Dubz,Dungeon EP,deep dubstep,0.649,0.531,8,-9.93,0,0.315,0.136,0.812,0.217,0.0792,139.99
Noumena,4hLebOBs43wbuTkxA7FzJF,Chief Kaya,Bastet,deep dubstep,0.776,0.303,11,-18.413,0,0.297,0.547,0.888,0.598,0.377,139.898
Shift - Causa Remix,5SazcS0fmpvZQGf2oilKpj,"Pharma, Causa",Kreamy / Shift,deep dubstep,0.868,0.622,7,-9.114,1,0.277,0.522,0.623,0.155,0.536,140.082
Make Me Feel,1GfJCWGLfdev016PSsrUO8,oskar med k,Make Me Feel,deep house,0.797,0.71,6,-8.008,0,0.0862,0.139,0.107,0.152,0.175,124.919
That's Where I Should Be,6zebgbvTnD3NsCgNgRRnk8,MA:RK,That's Where I Should Be,deep house,0.836,0.7,2,-6.223,0,0.072,0.339,0.27,0.112,0.528,127.054
You're Makin' Me High,5iP6VWh8goBkJcXBMQSejA,"DJ Katch, Amira Eldine",You're Makin' Me High,deep house,0.704,0.788,10,-7.325,0,0.0597,0.0384,0.000102,0.618,0.598,124.964
Think About Us,0lRnxwJeUOxwEvWMw4uQKj,"Sonny Fodera, D.O.D, Poppy Baskcomb",Think About Us,deep house,0.774,0.558,1,-5.799,1,0.0421,0.0126,0.00306,0.0619,0.493,127.975
Say It Right - Rinzen Remix,6EUfZGFToR6jPqyzAoH8WY,"Nelly Furtado, Rinzen",Say It Right (Rinzen Remix),deep house,0.798,0.769,5,-6.624,0,0.0378,6.46e-05,0.28,0.119,0.281,125.013
Hold on Me,43FNnp0KnanReB8KCTl97p,"Why U So, SHELLS",Hold on Me,deep house,0.739,0.639,3,-7.053,0,0.0362,0.175,0.648,0.0939,0.117,121.018
Deep of You,5lRzNBSLgUQFZhJrEYGqPN,"Astrality, Marlo Rex",Deep of You,deep house,0.76,0.779,6,-6.635,1,0.0407,0.0513,0.0156,0.075,0.728,123.991
Let It Go,4madkqL1bB8rweDVBG8FvR,"NOTSOBAD, MA:RK",Let It Go,deep house,0.644,0.695,5,-7.202,0,0.0383,0.255,0.828,0.142,0.198,126.004
Nobody Knows - Belters Only Remix,1unlWf6dqVy71XhAdlMjH0,"Ape Drums, Clementine Douglas, Belters Only",Nobody Knows (Belters Only Remix),deep house,0.686,0.821,4,-8.41,0,0.0453,0.0459,0.245,0.0684,0.419,130.041
Something Real,4LOZluaGCD0yueMvqDfZn8,Nu Aspect,Something Real,deep house,0.755,0.592,5,-8.244,0,0.0411,0.0999,0.491,0.162,0.428,122.04
Remember,39K1B9yIdTCgwm25z4GYId,DRAY,Remember,deep house,0.436,0.874,5,-7.068,0,0.0495,0.00872,0.539,0.172,0.524,124.058
In the Jungle,62jZuB60iHHjaMJIf9584g,"Belters Only, Karen Harding",In the Jungle,deep house,0.679,0.906,9,-6.806,0,0.0528,0.218,5.88e-05,0.867,0.588,124.991
Where Nobody Knows,4fzUXbg5iev2CqbmbzW3mg,"Hyzteria, Dakota",Where Nobody Knows,deep house,0.557,0.951,9,-5.107,0,0.0413,0.00257,0.379,0.132,0.224,125.999
Life with You,356zh8gZWsTSQqtJBUpJ3b,"INNERVERSE, Paul Schulze, Oliver Cricket, Courtney Storm",Life with You,deep house,0.702,0.761,6,-7.225,0,0.0383,0.0457,0.587,0.313,0.195,126.006
Times Are Changing,2ekvSQupVG7X88fjjdYScf,"Astrality, Thandi",Times Are Changing,deep house,0.768,0.593,7,-8.38,1,0.0491,0.0211,0.053,0.124,0.0713,123.993
Miss You,329PAO2XpurUBEWszXKG5K,"Nu Aspect, Jamis, Poppy Baskcomb",Miss You,deep house,0.71,0.486,1,-10.754,0,0.0437,0.348,0.649,0.134,0.171,123.027
Infinite Love,5BFJZcPnKwT1fVBQ1ewPZS,CAKES,Infinite Love,deep house,0.695,0.65,2,-8.495,0,0.0397,0.076,0.507,0.107,0.389,128.023
Sweet Release,0C6Sbwuo42ebcvGWeWCSEq,Nu Aspect,Sweet Release,deep house,0.604,0.853,7,-7.267,0,0.033,0.0872,0.691,0.0574,0.122,125.986
Something Stronger,1VhD0FPDYqFhqRJVguVAJe,"Rules, SHYA, Coldabank",Something Stronger,deep house,0.686,0.828,7,-6.116,0,0.0341,0.045,0.00311,0.0909,0.211,124.025
Run,4bczCp8ojdY0R4EpCaqkfQ,"ATB, Nu Aspect, Orem",Run,deep house,0.681,0.932,0,-5.975,0,0.0458,0.0831,0.000752,0.213,0.619,131.971
Heaven,5CTWar6EERdWazrPD2giMp,"PALASTIC, ALLKNIGHT",Heaven,deep house,0.728,0.722,0,-7.5,0,0.0523,0.052,0.147,0.0928,0.315,126.008
Restart My Heart,0a2Yh4mTBAcQDpBYjFIMLJ,"Astrality, Aiko",Restart My Heart,deep house,0.754,0.879,0,-6.176,0,0.0476,0.000644,0.0249,0.301,0.354,128.001
No Man's Land,6Ugr3Xsm1eeHxliKuEeWaW,"CAKES, Izzy Bizu",No Man's Land,deep house,0.724,0.867,2,-5.314,1,0.0479,0.0098,0.121,0.12,0.624,120.974
Secrets,0WmXuaTTXkS5ePtRP24htZ,"Tudor, Caroline Byrne",Secrets,deep house,0.727,0.66,1,-9.043,1,0.043,0.38,0.215,0.135,0.539,129.935
Lifeline,2hFvHni0OW4MTBvRGAtiw9,"Punctual, Aiko",Lifeline,deep house,0.647,0.813,10,-5.755,0,0.0346,0.085,0.0419,0.122,0.637,125.987
Chemicals,6fbj2WJhkyYamhkYngTI5W,Thandi,Chemicals,deep house,0.705,0.721,2,-6.13,1,0.09,0.135,0.0089,0.135,0.186,128.074
Illuminate,6SpS3512xzHKapz4plRuZW,"Astrality, Leo Stannard",Illuminate,deep house,0.757,0.654,1,-6.591,0,0.0332,0.392,0.000161,0.105,0.145,124.015
Over The Edge,2CpJixMi6A00UWxzLiHh1Q,"Nu Aspect, Poppy Baskcomb",Over The Edge,deep house,0.636,0.781,11,-7.599,0,0.0377,0.0504,0.000237,0.456,0.302,127.982
I See You,2D2G2gbcZkZzve14PYdqMf,"Reiny, EZIA",I See You,deep house,0.704,0.871,9,-5.339,0,0.0368,0.0343,0.561,0.0967,0.343,129.995
Midnight Zone,6iDQi093BFCGouVa3uXpOu,"Astrality, TAPE ANGEL",Midnight Zone,deep house,0.712,0.863,5,-6.203,0,0.0333,0.0181,0.0176,0.097,0.182,123.982
The Darkside,5xan7XL4YNpsAOL7LhXUPb,"PALASTIC, Ekko",The Darkside,deep house,0.611,0.637,2,-10.082,0,0.0607,0.538,0.124,0.176,0.217,123.829
Heaven,5gvEyl4OLhD6kJ3aZ43sd3,James Carter,Heaven,deep house,0.737,0.849,11,-6.071,0,0.035,0.0201,7.21e-05,0.132,0.675,115.993
Reverie,64fXwFNr6wKQLAjFTYDvbe,INNERVERSE,Reverie,deep house,0.611,0.886,7,-6.444,0,0.0395,0.0291,0.00772,0.404,0.172,123.984
Losing You,7mNXqJNUEPqiALzp1I9Yk1,Julien Fade,Losing You,deep house,0.763,0.584,7,-10.178,1,0.0434,0.296,0.774,0.0579,0.471,125.035
Voodoo,3hQSct6Ay5azm9dfFxHixY,Gorgon City,Salvation,deep house,0.661,0.885,6,-6.575,0,0.0577,0.201,0.748,0.155,0.224,129.019
Bloom Again,6sZYTNw51HHsYNEvVrJWPe,Nu Aspect,Bloom Again,deep house,0.593,0.76,11,-7.667,0,0.0353,0.07,0.757,0.089,0.158,122.965
Hollow Ground,0D3R3tViQUgPvuzcVX5Yku,"NOTSOBAD, Able Faces",Hollow Ground,deep house,0.645,0.88,0,-9.148,1,0.0412,0.483,0.489,0.105,0.0398,126.961
Exhale,2L5RY6eVB5PYmNsrnchGW1,"T. Matthias, Alimish",Exhale,deep house,0.611,0.875,7,-5.426,0,0.0352,0.166,0.00384,0.205,0.128,132.006
"Hold On, We're Going Home",5rOZLvuxnouaWA5jl5rYeY,"Sixten, Embody, STO CULTR","Hold On, We're Going Home",deep house,0.878,0.851,7,-4.847,0,0.298,0.174,0.000318,0.0902,0.363,125.997
Want U,4PIdTFeeNnJ87nKOf1djuG,Hayley May,Want U,deep house,0.732,0.803,2,-4.848,0,0.0956,0.0337,0.000993,0.0754,0.354,124.034
Breathe in the Blue,5j2ONNLDz5PwdXqtDU8QI0,"Julien Fade, Nu-La",Breathe in the Blue,deep house,0.656,0.858,7,-7.302,1,0.037,0.00458,0.137,0.138,0.0682,127.993
Mother,0t2j4TWXOB9aPfquUgC1hu,Revelle27,Mother,deep house,0.531,0.939,6,-5.401,0,0.0295,0.000146,0.0525,0.432,0.64,129.994
Inside Out,2yiNArujhNe6pDG2GSZ3HE,"Astrality, Tailor",Inside Out,deep house,0.671,0.595,4,-9.214,0,0.0463,0.28,1.76e-05,0.102,0.0554,122.078
Gravity,2J9jWkE2NUeULlJ7OSIZ3G,"Joshwa, Lauren Nicole",Gravity,deep house,0.667,0.794,10,-6.972,1,0.0321,0.105,0.091,0.384,0.533,131.955
Light,0JLiYHwL8CXEysiurWmdow,Nu Aspect,Light,deep house,0.656,0.776,11,-9.445,0,0.0351,0.00408,0.778,0.346,0.338,125.975
Where the Sun Goes Down,2XOoOrYb8ZptaoTxQdoqfk,"Badflite, RYVM",Where the Sun Goes Down,deep house,0.567,0.679,6,-7.131,0,0.063,0.0201,0.000743,0.123,0.346,124.045
Weightless,14Qgz11mmNGbIQ57IZlAUF,Hyzteria,Weightless,deep house,0.586,0.909,7,-5.842,0,0.0333,0.00177,0.0792,0.153,0.564,126.006
My Love,5Vi0u7cGTcPrXk6ZOoppnp,Jethro Heston,My Love,deep house,0.789,0.784,3,-4.623,0,0.0363,0.444,0.000114,0.257,0.567,126.014
Cherish,4ZYL4h2sQEWVBXoSuLcMEA,Badflite,Cherish,deep house,0.679,0.739,9,-8.431,1,0.105,0.267,0.748,0.116,0.281,128.043
Get Through This,4NkHMtDWqqfU9snFt7Ae6j,Nathan C,Get Through This,deep house,0.643,0.705,8,-6.658,1,0.0347,0.381,0.000133,0.119,0.517,123.924
Your Touch,0rfsaQbCQQGu5mfytzH5z8,"Why U So, SHELLS",Your Touch,deep house,0.717,0.777,8,-7.82,0,0.0469,0.106,0.0767,0.105,0.141,125.969
Words,3yLU2Rd0k3AKYdCWECAyeo,Nu Aspect,Words,deep house,0.649,0.883,5,-5.753,0,0.041,0.00825,0.796,0.261,0.209,125.007
Show Me,4WQtQMbcS53c7k50ddOr9A,"JLV, Thandi",Show Me,deep house,0.776,0.723,10,-6.541,0,0.0718,0.202,0.591,0.349,0.355,122.032
Ride With Me,6CnR6eRYGYQc9bEtQeiiZR,Zac Samuel,Ride With Me,deep house,0.429,0.824,6,-6.926,0,0.0408,0.0904,0.929,0.134,0.325,123.895
Rain,49frwp277WHBgpwBHeyOSO,"Astrality, MNRT, S:NE",Rain,deep house,0.697,0.807,9,-6.657,0,0.0387,0.183,0.0609,0.372,0.189,123.999
Out of My Head,1e0V7CMEcXaPAMtL4b5VtV,"Jack Wins, ManyFew",Out of My Head,deep house,0.549,0.946,11,-5.031,1,0.0395,5.97e-05,0.0101,0.124,0.189,123.995
Surrender,3KXXozoDcc8mRrFUIQIoC6,DRAY,Surrender,deep house,0.72,0.878,11,-8.331,0,0.0705,0.0016,0.745,0.584,0.156,126.037
I Can't See,59kl6e4q6sCJlxCgLZdJGo,"ROW, Samuel Miller",I Can't See,deep house,0.67,0.711,8,-7.257,0,0.0443,0.00172,0.0963,0.186,0.691,121.976
Sleepless,75HBVc7kJLjC2LlPc4ScfH,"AVAION, PaulWetz, Nu Aspect, YUMA",Sleepless,deep house,0.673,0.595,7,-11.333,0,0.0393,0.372,0.37,0.077,0.186,121.982
Tell Me,2TLICM4QNi7BRg7Wa0kzdN,"Falden, Fare",Tell Me,deep house,0.711,0.737,9,-7.328,0,0.0399,0.0197,0.27,0.221,0.326,121.02
Cure My Desire,6siCO69xx6pzXsAajilDB5,"Hannah Wants, Clementine Douglas",Cure My Desire (Themba Remix),deep house,0.64,0.772,11,-7.756,1,0.0447,0.253,0.00017,0.0566,0.401,121.982
"Night Fever - From ""Saturday Night Fever"" Soundtrack",5KgbyD2lQQlIupAaPjgiXg,Bee Gees,Greatest,disco,0.733,0.795,1,-7.224,0,0.0249,0.0263,0.000952,0.083,0.892,109.121
"Hot Stuff - 12"" Version",2Vnw8zKmjhr1jczUeaqiQg,Donna Summer,Bad Girls (Deluxe Edition),disco,0.796,0.892,0,-8.31,1,0.0333,0.00475,0.0187,0.0717,0.965,120.4
Born to Be Alive - The Original,3XIEWK1V9n25PS9Vb6axj5,Patrick Hernandez,Born to Be Alive (The Original),disco,0.704,0.868,2,-5.808,1,0.0315,0.0834,0.0,0.206,0.808,131.468
Let's Groove,3koCCeSaVUyrRo3N2gHrd8,"Earth, Wind & Fire",Raise!,disco,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035
Ladies Night - Single Version,1i2ZI3tXuJUEjCY6zF3G9w,Kool & The Gang,The 50 Greatest Songs,disco,0.684,0.659,9,-9.549,1,0.18,0.216,3.16e-05,0.0674,0.921,111.394
Bad Girls,1ibRqifchaAfeNdQGpbRVW,Donna Summer,Bad Girls,disco,0.857,0.7,2,-14.506,0,0.0358,0.00387,0.0162,0.411,0.973,120.529
Ring My Bell,7GK2KVYH8FrTC9zehmjVMd,Anita Ward,Ring My Bell,disco,0.781,0.556,5,-13.067,0,0.0611,0.0661,0.0907,0.0339,0.968,125.999
Good Times - 2018 Remaster,4N3stlRuz5cBNI4J4vDJ18,CHIC,The Chic Organization 1977-1979 (2018 Remaster),disco,0.869,0.503,2,-12.804,1,0.0479,0.0818,0.00837,0.187,0.914,112.664
He's the Greatest Dancer - 1995 Remaster,5WwRKYnVy9dekqXAGPbAvU,Sister Sledge,We Are Family (1995 Remaster),disco,0.7,0.816,7,-9.711,0,0.044,0.00115,0.00123,0.0901,0.838,113.244
Got to Be Real - Single Version,3eudp9ZxZAGaDBOuWGrW2D,Cheryl Lynn,Cheryl Lynn (Expanded Edition),disco,0.83,0.711,5,-7.462,1,0.0448,0.202,0.0448,0.137,0.901,114.646
Play That Funky Music,5uuJruktM9fMdN9Va0DUMl,Wild Cherry,Wild Cherry,disco,0.814,0.672,9,-12.068,1,0.0619,0.0435,0.0,0.061,0.933,109.394
Last Dance - Single Version,29RcVe2M9l8rHyWHffBmjf,Donna Summer,Walk Away - Collector's Edition The Best Of 1977-1980,disco,0.341,0.721,3,-10.311,1,0.0784,0.131,0.000313,0.216,0.237,126.365
Brick House,5VJjhHyG8NZ5xdgG6uTb3P,Commodores,Commodores,disco,0.832,0.782,4,-10.48,0,0.0597,0.0743,0.0179,0.032,0.63,107.878
More Than A Woman,49OMJ1prsRA7ZYgrAjz70c,Bee Gees,Greatest,disco,0.632,0.683,7,-6.434,1,0.0385,0.163,0.00013,0.847,0.701,105.959
Shake Your Body (Down to the Ground),7g4I3DeFlZLeqMjw0ONBqs,The Jacksons,Destiny,disco,0.82,0.613,0,-9.152,1,0.0606,0.0208,0.000101,0.372,0.816,117.602
"Can't Get Enough Of Your Love, Babe",3mWpUEBYnv9SIFWfixSJFx,Barry White,Can't Get Enough,disco,0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833
Got to Be Real,58r4JuwHhXLAkttkaUZfLw,Cheryl Lynn,Cheryl Lynn (Expanded Edition),disco,0.836,0.626,9,-10.143,0,0.0335,0.0943,0.742,0.153,0.898,114.657
More Than A Woman - Remastered,4pHjt1Hs1ghsey8dHnViYX,Tavares,Anthology,disco,0.702,0.803,8,-9.129,0,0.0418,0.185,0.0,0.562,0.882,108.499
Boogie Oogie Oogie - Remastered 2004,07NrCEN3egNvw8td2LxqJO,A Taste Of Honey,A Taste Of Honey,disco,0.791,0.569,2,-10.372,0,0.0553,0.133,0.00035,0.139,0.889,123.977
Take Your Time (Do It Right),3DIe90xqHuUDtyuapTwCAR,The S.O.S Band,S.O.S.,disco,0.863,0.538,4,-13.924,0,0.0545,0.0129,0.0188,0.0877,0.877,118.931
"Everybody Dance - 12"" Mix",4ooEiUeM4AcN9bOXkWa6Bk,CHIC,Les Plus Grands Success De Chic - Chic's Greatest Hits,disco,0.76,0.595,0,-14.579,0,0.0913,0.0823,0.107,0.0671,0.891,128.584
"More, More, More",4hepyFFOO9I7oZCNn3T2sz,Andrea True Connection,"More, More, More",disco,0.74,0.835,9,-5.625,0,0.038,0.0694,4.67e-05,0.149,0.886,103.029
Rapper's Delight,7sZDbHZiuHEzS00vzCuhqS,The Sugarhill Gang,The Showdown: The Sugarhill Gang vs. Grandmaster Flash & The Furious Five,disco,0.9,0.845,11,-7.306,0,0.257,0.465,0.0,0.0724,0.914,111.187
Disco Nights (Rock Freak) - Single Remix,0QsY5Bk7VMOkWQwxGWPfWT,G.Q.,Disco Nights (Expanded Edition),disco,0.78,0.675,5,-9.129,0,0.0415,0.0257,0.00851,0.0323,0.962,122.994
Copacabana (At the Copa) - Long Version,26qO4FFiU8crnSfk2AFia4,Barry Manilow,Even Now,disco,0.678,0.816,5,-10.116,0,0.0601,0.0696,0.026,0.0694,0.791,116.395
Car Wash - Long Version,2pbWkjtGtjkzBdZ95GFINm,Rose Royce,Car Wash,disco,0.667,0.521,9,-13.212,0,0.115,0.202,6.55e-05,0.0723,0.856,117.917
Souvenirs,5DdRQzzpJOLd6jAdrgOhAG,Voyage,"Twelve Inch Classics from the 70s, Vol. 1",disco,0.687,0.928,5,-5.109,1,0.0314,0.000152,0.828,0.114,0.882,127.926
Let's All Chant,2xGMzDlPnmPHD8HUYOy4Lw,The Michael Zager Band,Let's All Chant,disco,0.85,0.769,4,-8.648,0,0.0359,0.0289,0.01,0.0899,0.967,122.007
Come to Me,5wmVHVCMNO6TfCBcXU0cCk,France Joli,Come to Me,disco,0.715,0.653,1,-8.827,1,0.0589,0.00801,0.00198,0.0681,0.594,132.273
KEEP ON DANCIN' - Extended,7Fzl3LNIJ3HcKgUC2olHhQ,Gary's Gang,Keep On Dancin',disco,0.882,0.518,11,-12.493,0,0.0385,0.0368,0.158,0.0851,0.967,126.134
Da Ya Think I'm Sexy?,4z7maGZkAonDlXlwo8q69f,Rod Stewart,Blondes Have More Fun,disco,0.715,0.689,2,-8.065,0,0.029,0.0143,0.000192,0.111,0.852,111.504
Get Off - Remastered,21IypW8aMJ2iUhzrXe3hKO,Foxy,Get Off (Remastered),disco,0.93,0.547,9,-8.289,1,0.219,0.0107,0.000856,0.056,0.955,130.793
I Haven't Stopped Dancing Yet - Single Version [Bonus Track],5D7AaRW9JpqquqOnEG0uOS,Gonzalez,Gonzalez - Our Only Weapon is Our Music,disco,0.685,0.779,9,-9.417,0,0.0479,0.0717,0.0,0.16,0.943,133.778
Native New Yorker,0A4RFPWJ78kbKL5NDF3UC2,Odyssey,The Essential Odyssey,disco,0.511,0.93,1,-6.866,1,0.167,0.16,4.57e-05,0.823,0.597,109.325
I Love The Nightlife,3ChXTNUIdmlFStxCtM3Q6a,Alicia Bridges,FauxDiva XX,disco,0.519,0.655,0,-5.837,1,0.0449,0.315,0.8,0.137,0.892,125.177
"Native New Yorker - 12"" Disco Mix",1jR4bgFyL3ut5ExAKDDNEZ,Odyssey,Odyssey (Expanded Edition),disco,0.462,0.884,0,-8.722,1,0.0984,0.0852,0.0484,0.798,0.551,106.395
Mandolay,22AmtDNVTwfDRsSy8gWLPt,Gary's Gang,Dance Party,disco,0.845,0.646,4,-6.646,0,0.0644,0.00508,0.533,0.0856,0.962,135.07
Born to Be Alive - Extended Version,5WI7WETcabzR2k2euhcpo7,Patrick Hernandez,Born to Be Alive (Extended Version),disco,0.759,0.794,7,-8.849,1,0.0306,0.00653,0.000537,0.0683,0.788,131.045
I Gotta Keep Dancin' - Keep Smiling,3EgWpwzy2wfsluBvd6UzBV,Carrie Lucas,Simply Carrie,disco,0.753,0.726,0,-10.904,1,0.0419,0.0215,0.0289,0.305,0.853,124.574
Dance With Me,74vza4ulkxfCmeaQmTJQIC,Peter Brown,"Twelve Inch Classics from the 70s, Vol. 1",disco,0.916,0.63,10,-7.847,1,0.0484,0.17,0.00033,0.169,0.883,108.411
This Time Baby,2YDC6HEdImL1bEhyLrU777,Jackie Moore,Ladies Of Soul,disco,0.8,0.583,5,-11.186,0,0.0509,0.0397,1.85e-05,0.125,0.794,121.074
Knock Me Out - Original Version,4NaUUW572tb1mtelEkooKR,Gary's Gang,Dance Party,disco,0.793,0.602,11,-6.981,0,0.0685,0.0611,0.0158,0.0494,0.885,121.769
Love Come Down,17EVu5b0l5uo2gErSfqEt1,"Evelyn ""Champagne"" King",Get Loose,disco,0.904,0.624,3,-5.936,0,0.045,0.00622,0.00171,0.0304,0.804,115.735
There But for the Grace of God Go I - Remix,238ktHqrZJtfyoF1xcvfSR,"Machine, Timmy Regisford",There But for the Grace of God Go I,disco,0.719,0.979,11,-4.984,0,0.182,0.339,0.00701,0.103,0.665,131.36
Disco Nights (Rock Freak),4aVowfVhlyNUgHYqXbK8Ev,G.Q.,Disco Nights (Expanded Edition),disco,0.798,0.528,5,-12.228,0,0.0531,0.0116,0.00379,0.0446,0.898,122.61
And the Beat Goes On,7oQ1wkBmYSBEC2x7U08dvn,The Whispers,The Whispers: Greatest Hits,disco,0.793,0.643,11,-7.345,0,0.106,0.134,0.00246,0.0361,0.963,114.894
"Love Disco Style - 12"" Mix",1UM6szweatIfGqE6XS33Q5,"Erotic Drum Band, Pat Marano",Love Disco Style,disco,0.682,0.808,1,-9.111,1,0.0449,0.00309,0.0471,0.0448,0.937,135.015
"Shame - 12"" Version",1nGSQBFDdm013VoiwJUYAY,"Evelyn ""Champagne"" King",Greatest Hits,disco,0.71,0.833,11,-8.533,0,0.0405,0.00788,0.0162,0.0486,0.884,133.716
I'm Ready,4ipXFsSBklGJ804zdXemVA,Kano,Kano,disco,0.873,0.565,10,-9.676,1,0.0588,0.0772,0.829,0.025,0.785,126.642
Love Is in You - Remix,4n3pRHNe0a5jj3ii2QXQY5,Nightlife Unlimited,Disco Choo Choo,disco,0.826,0.795,11,-8.471,0,0.0479,0.0248,0.00584,0.0435,0.945,129.651
Jack and Jill,5KDT5BDSmomPMe2AXuGInR,Raydio,Raydio,disco,0.693,0.659,4,-4.722,1,0.0299,0.395,0.00485,0.133,0.541,106.247
On And On,0Vth3l4XAo8hNYmxjzhr2y,Stephen Bishop,Careless,disco,0.57,0.462,11,-10.483,1,0.0283,0.74,0.000223,0.104,0.545,102.3
Guitar Man,0gZXockVcE7rEhSf4mcGLO,Bread,Guitar Man,disco,0.553,0.506,4,-13.271,0,0.046,0.144,3.78e-06,0.438,0.51,143.278
